k,pca_mse,lae_mse,difference,ratio,principal_angles_rad,principal_angles_deg,grassmann_distance,mean_angle_degrees,raw_accuracy,pca_accuracy,ae_accuracy,pca_fit_time,pca_transform_time,pca_reconstruction_error,pca_explained_variance,ae_train_time,ae_encode_time,ae_reconstruction_error,ae_final_loss
8,0.03811627276553032,0.038528718054294586,0.00041244528876426684,1.0108207140635548,"[0.6896489  0.73206969 0.76460693 0.82792581 0.84222335 0.8632493
 0.95813954 1.25433668]","[39.51397147 41.94450342 43.80875018 47.43665438 48.25584358 49.46054141
 54.89735157 71.86819765]",2.495507549662981,49.64822670797251,0.891,0.772,0.773,0.29553890228271484,0.00668644905090332,0.03811627276553032,0.44002080502948476,10.691668510437012,0.0031003952026367188,0.038528718054294586,0.038336683419488725
32,0.017341351745626697,0.017383115366101265,4.1763620474567775e-05,1.002408325549656,"[0.3099966  0.33069258 0.3570779  0.36605428 0.38998622 0.39938407
 0.40688303 0.43002765 0.43416309 0.44248849 0.45475194 0.47006781
 0.48677217 0.50015569 0.5048067  0.51219092 0.53139721 0.53656461
 0.54498074 0.56200607 0.57942349 0.58617138 0.59321918 0.59676366
 0.6248812  0.63327802 0.64970712 0.67280962 0.68213631 0.71855243
 0.76648857 0.93017028]","[17.76149712 18.94728926 20.45905657 20.97336514 22.34456433 22.88302164
 23.3126806  24.63876923 24.87571256 25.35272268 26.05536689 26.93290143
 27.88999101 28.6568103  28.92329362 29.34637788 30.44681751 30.7428875
 31.22509645 32.20057566 33.19852053 33.58514592 33.9889553  34.19203935
 35.80305535 36.28415784 37.22547584 38.54915173 39.08353183 41.17002133
 43.91656021 53.2948313 ]",3.1010517043568178,30.445632621987155,0.891,0.8835,0.8775,0.28972339630126953,0.008665800094604492,0.017341351745626697,0.7470129346413636,5.993398189544678,0.002544403076171875,0.017383115366101265,0.017205706250572963
64,0.009379020175980806,0.009470426477491856,9.140630151104924e-05,1.0097458263012522,"[0.18917542 0.19468511 0.21236258 0.2188814  0.22678176 0.23107865
 0.24148405 0.24273592 0.25095036 0.26057208 0.27250644 0.2757882
 0.28787503 0.29725801 0.31021457 0.31589803 0.31908076 0.32458226
 0.32874518 0.33468887 0.33965777 0.34695117 0.35254608 0.3606143
 0.36666286 0.3778222  0.38033355 0.38756336 0.39759792 0.40365538
 0.4067507  0.41421269 0.41959548 0.4252128  0.43279692 0.43544454
 0.45485552 0.46581837 0.47486481 0.47633284 0.47684624 0.48217589
 0.48802847 0.50368989 0.50837225 0.51077226 0.52561057 0.52740529
 0.54550874 0.54886957 0.55722159 0.57177971 0.57728239 0.58445864
 0.59791    0.60280179 0.61149462 0.61604745 0.63382614 0.6672956
 0.6752702  0.71755675 0.92184007 1.28900278]","[10.83895321 11.1546349  12.16747955 12.54098018 12.99363766 13.23983114
 13.83601711 13.90774379 14.37839669 14.92968064 15.61346894 15.80149986
 16.49402434 17.03162921 17.77398563 18.09962404 18.28198065 18.59719351
 18.83571126 19.1762596  19.46095681 19.87883799 20.19940241 20.66167717
 21.00823418 21.64761722 21.79150749 22.20574477 22.78068273 23.12774978
 23.30509866 23.73263896 24.04104983 24.36289866 24.79743673 24.94913415
 26.06130135 26.68942645 27.20774922 27.29186158 27.32127731 27.62664365
 27.96197176 28.85930479 29.12758421 29.26509496 30.11526723 30.21809705
 31.25534849 31.44791008 31.92644544 32.7605644  33.07584479 33.48701322
 34.25771927 34.5379986  35.03606065 35.29691879 36.31556285 38.23322131
 38.6901325  41.11297342 52.8175456  73.85441898]",3.8124572107988626,25.24210402137376,0.891,0.8985,0.897,0.2509756088256836,0.008269786834716797,0.009379020175980806,0.8645257861970399,6.630694389343262,0.002750873565673828,0.009470426477491856,0.009300890733443555
128,0.00436740947279819,0.004525757394731045,0.00015834792193285437,1.0362567153181086,"[0.07782311 0.08185785 0.08972657 0.09416254 0.1013192  0.10293518
 0.10443725 0.1067734  0.11149779 0.11535471 0.12083036 0.12586174
 0.12803715 0.13274542 0.13597926 0.14313227 0.1432181  0.1490225
 0.15331031 0.16119999 0.16446063 0.16808222 0.16926197 0.1763542
 0.17965239 0.18194392 0.18453477 0.19013275 0.19326577 0.19457653
 0.19952553 0.20479416 0.20910492 0.21199857 0.2141084  0.21722694
 0.22429528 0.22674441 0.23118518 0.23413325 0.23935143 0.24202623
 0.24574388 0.25081082 0.25554386 0.26101511 0.26541726 0.26934733
 0.27270908 0.27373643 0.2784775  0.28474883 0.29096162 0.29828406
 0.30125308 0.30794694 0.3129708  0.31489346 0.31537761 0.32116313
 0.32224763 0.32732752 0.33038497 0.33315362 0.33619021 0.33801293
 0.35526852 0.35780653 0.36115494 0.36656125 0.36819509 0.37176827
 0.37622034 0.38343693 0.38742738 0.39204025 0.3959254  0.39986124
 0.40155428 0.40844672 0.41198987 0.41677657 0.42347193 0.42685122
 0.43345696 0.43466325 0.4367719  0.44005878 0.45142286 0.45307706
 0.45549704 0.46331229 0.46872895 0.47445642 0.47867946 0.48183893
 0.48607889 0.49648628 0.49783088 0.5007178  0.50405215 0.50946911
 0.5186328  0.52714078 0.53224696 0.53522283 0.54449301 0.54919366
 0.55633866 0.55981789 0.57261175 0.57554964 0.58725949 0.59049557
 0.59604021 0.61164091 0.62721428 0.63465701 0.64175631 0.65340358
 0.66717129 0.69677812 0.83446275 0.93183766 1.11302906 1.14851694
 1.33313236 1.53090796]","[ 4.4589356   4.69010938  5.14095389  5.39511612  5.80516269  5.89775146
  5.98381362  6.1176653   6.38835296  6.6093382   6.92306945  7.21134646
  7.33598855  7.60575238  7.79103775  8.20087503  8.2057929   8.53836022
  8.78403387  9.23607901  9.42290022  9.63040179  9.69799666 10.10435125
 10.29332367 10.42461862 10.57306367 10.89380387 11.07331283 11.14841372
 11.43197075 11.73384098 11.98082929 12.14662322 12.26750784 12.44618688
 12.85117294 12.99149778 13.24593503 13.41484691 13.71382664 13.86708163
 14.0800874  14.37040152 14.64158476 14.95506408 15.20728867 15.43246547
 15.62507949 15.68394207 15.95558562 16.31490638 16.67087267 17.09041769
 17.26053012 17.64405972 17.93190588 18.04206609 18.06980576 18.40129193
 18.46342934 18.75448523 18.9296643  19.08829619 19.26228035 19.3667143
 20.35538662 20.50080405 20.69265405 21.00241241 21.09602481 21.30075304
 21.55583746 21.96931799 22.19795402 22.46225196 22.68485427 22.91036133
 23.00736529 23.40227343 23.60528076 23.87953871 24.26315452 24.45677364
 24.83525428 24.90436956 25.02518644 25.21351086 25.86462479 25.95940352
 26.09805814 26.54583895 26.85619037 27.18435018 27.42631299 27.60733687
 27.85026878 28.44656824 28.52360832 28.68901649 28.88006097 29.19043003
 29.71547028 30.20294212 30.49550472 30.6660094  31.19715118 31.46647899
 31.87585709 32.07520266 32.80823667 32.97656516 33.64749012 33.83290391
 34.15058825 35.04444295 35.93673083 36.36316805 36.76992811 37.43726726
 38.22609892 39.9224456  47.81119379 53.39036501 63.77186773 65.80517334
 76.38285782 87.7145648 ]",5.029065909362093,21.52379030441124,0.891,0.898,0.9,0.575946569442749,0.018039941787719727,0.00436740947279819,0.9384171058941583,6.627641439437866,0.0028078556060791016,0.004525757394731045,0.004363162605653679
